Signal1,Signal2,Signal3,R,H,O
-167.2546723,63.05971985,-96.51098769,3.483529329,11.0,135.0
-167.0908056,62.9416631,-97.00333765,3.583500147,11.0,135.0
-167.0474877,62.99360488,-97.52329842,3.683399439,11.0,135.0
-167.3396757,63.0246283,-97.95565927,3.783325434,11.0,135.0
-167.7272143,62.93336009,-98.40552379,3.883351803,11.0,135.0
-167.9998907,62.97530162,-99.00519929,3.983439207,11.0,135.0
-168.0580933,63.21566177,-99.57104766,4.083454609,11.0,135.0
-167.8416535,63.50537589,-99.73774971,4.183594704,11.0,135.0
-167.5886011,63.79200872,-99.43073997,4.183594704,11.0,135.0
-167.5434167,64.13483787,-98.93507858,4.283556938,11.0,135.0
-167.7805215,64.55804957,-98.54224153,4.38356781,11.0,135.0
-168.3925734,64.96150844,-98.55404791,4.483388901,11.0,135.0
-169.240081,65.11066042,-98.9820671,4.583377838,11.0,135.0
-170.0035437,65.03048418,-99.52332181,4.683450699,11.0,135.0
-170.6426816,65.07930786,-99.96261835,4.78354311,11.0,135.0
-171.3694567,65.29233148,-100.3290926,4.78354311,11.0,135.0
-172.045588,65.61944115,-100.8227573,4.883462906,11.0,135.0
-172.4461611,66.09330819,-101.3763252,4.983490467,11.0,135.0
-172.7818693,66.51693507,-101.7757426,5.083539963,11.0,135.0
-173.0632984,66.90213558,-101.9441678,5.18337822,11.0,135.0
-173.0485205,67.31794453,-102.1124679,5.283416748,11.0,135.0
-172.9545965,67.5207178,-102.6642528,5.383460999,11.0,135.0
-173.0313048,67.53050499,-103.359722,5.48331213,11.0,135.0
-173.1381681,67.52103131,-103.7698287,5.48331213,11.0,135.0
-173.23956,67.42979781,-103.8950697,5.583636761,11.0,135.0
-173.3705566,67.25734223,-103.9363636,5.683485985,11.0,135.0
-173.4571354,67.13859129,-104.035211,5.783445358,11.0,135.0
-173.3800095,67.15275728,-104.1097169,5.883514404,11.0,135.0
-173.1459367,67.18872943,-104.2028236,5.983501434,11.0,135.0
-172.969885,67.11720784,-104.3847861,6.083514214,11.0,135.0
-172.9504036,66.92026171,-104.6074747,6.083514214,11.0,135.0
-173.0693747,66.70989216,-104.8013761,6.183559895,11.0,135.0
-173.2614851,66.52543178,-104.7667301,6.283446312,11.0,135.0
-173.3567125,66.41899418,-104.5862673,6.383577824,11.0,135.0
-173.297447,66.45054342,-104.531697,6.483598232,11.0,135.0
-173.1224959,66.39856303,-104.5054427,6.583568096,11.0,135.0
-172.8284016,66.11458046,-104.3363657,6.683619499,11.0,135.0
-172.4607611,65.67116294,-103.9662173,6.783531666,11.0,135.0
-172.1697517,65.13496989,-103.4437656,6.783531666,11.0,135.0
-172.0011938,64.69824606,-102.8787853,6.88346386,11.0,135.0
-171.7483905,64.52250785,-102.3258098,6.98351717,11.0,135.0
-171.3616196,64.41361783,-101.8914836,7.0833354,11.0,135.0
-171.1264577,64.27837798,-101.5925352,7.183411598,11.0,135.0
-171.0738114,64.29083084,-101.3574633,7.283693314,11.0,135.0
-171.0161364,64.66790501,-101.172109,7.383535862,11.0,135.0
-170.951222,65.30169623,-101.0273009,7.48342371,11.0,135.0
-170.8022397,65.70020608,-100.7906126,7.48342371,11.0,135.0
-170.4736555,65.67617533,-100.3712544,7.583422184,11.0,135.0
-170.009656,65.49116857,-99.940091,7.683382034,11.0,135.0
-169.4840182,65.50508801,-99.61584421,7.783536911,11.0,135.0
-168.8369428,65.71083139,-99.34974622,7.883577347,11.0,135.0
-168.0243526,65.80996661,-99.17525803,7.983341694,11.0,135.0
-167.21461,65.7784872,-99.18597997,8.083251953,11.0,135.0
-166.5152093,65.75489822,-99.29045404,8.083251953,11.0,135.0
-165.9708843,65.67477512,-99.33025977,8.183433533,11.0,135.0
-165.5808508,65.3050092,-99.39506645,8.283495903,11.0,135.0
-165.2172444,64.66846129,-99.52611193,8.383515358,11.0,135.0
-164.6631542,64.0589988,-99.64397012,8.483296394,11.0,135.0
-163.8657583,63.55930981,-99.94795922,8.583460808,11.0,135.0
-163.1143348,63.20966154,-100.503359,8.683497429,11.0,135.0
-162.6518286,63.20039123,-100.9169667,8.783482552,11.0,135.0
-162.3224878,63.42766158,-100.9595017,8.783482552,11.0,135.0
-162.0068641,63.57211304,-100.6188767,8.883385658,11.0,135.0
-161.7803744,63.5122739,-99.94619746,8.983229637,11.0,135.0
-161.4880244,63.35559993,-99.29008844,9.083385468,11.0,135.0
-161.1438366,63.29398177,-98.94989239,9.183588028,11.0,135.0
-160.8915224,63.2793358,-98.84936443,9.28364563,11.0,135.0
-160.6242877,63.19445437,-98.6817655,9.383508682,11.0,135.0
-160.2643496,63.18494552,-98.23542274,9.383508682,11.0,135.0
-159.7474539,63.25885899,-97.60155781,9.483640671,11.0,135.0
-159.1182504,63.24420985,-96.85245889,9.583454132,11.0,135.0
-158.5449812,63.07465309,-96.04876987,9.6833992,11.0,135.0
-158.0461598,62.85663812,-95.52570481,9.783468246,11.0,135.0
-157.5433663,62.69171212,-95.49396838,9.883299828,11.0,135.0
-156.9271833,62.38628932,-95.75543929,9.983374596,11.0,135.0
-156.260058,61.86755814,-95.93782866,10.0835619,11.0,135.0
-155.6807442,61.23725195,-95.81363065,10.0835619,11.0,135.0
-155.1025459,60.50180807,-95.53181783,10.18347073,11.0,135.0
-154.4897669,59.86330179,-95.25090907,10.28362656,11.0,135.0
-154.1087477,59.41134248,-94.97670877,10.38357449,11.0,135.0
-154.1269337,59.00733792,-94.94484571,10.48350525,11.0,135.0
-154.2121569,58.63974143,-95.2116518,10.58348846,11.0,135.0
-154.1000822,58.42288767,-95.43067009,10.68345642,11.0,135.0
-153.9036731,58.33351496,-95.37791872,10.68345642,11.0,135.0
-153.5949393,58.21860518,-94.95476941,10.78356075,11.0,135.0
-152.8798898,58.17718616,-94.27985674,10.88355255,11.0,135.0
-151.729087,58.13234356,-93.65011349,10.98362446,11.0,135.0
-150.4765328,57.95587593,-93.03597667,11.08358097,11.0,135.0
-149.3975501,57.78130138,-92.35850601,11.18352222,11.0,135.0
-148.6245048,57.58953276,-91.71059647,11.28349113,11.0,135.0
-148.0201037,57.45140337,-91.16263674,11.38352871,11.0,135.0
-147.35962,57.41258425,-90.79507055,11.38352871,11.0,135.0
-146.7538465,57.32503713,-90.55372686,11.48354721,11.0,135.0
-146.3496115,57.08672288,-90.39713908,11.58350658,11.0,135.0
-146.0059185,56.75353766,-90.49607251,11.6834383,11.0,135.0
-145.5572825,56.46346581,-90.89425325,11.78356075,11.0,135.0
